"id","ServerModel","ProductType","LatestVersion","DateTime","Link","LinkText"
"r760bios","Dell PowerEdge R760","BIOS","","","https://www.dell.com/support/product-details/en-us/product/poweredge-r760/drivers","PowerEdge R760 Downloads (Opens in Edge)"
"r760idrac","Dell PowerEdge R760","IDRAC","","","https://www.dell.com/support/product-details/en-us/product/poweredge-r760/drivers","PowerEdge R760 Downloads (Opens in Edge)"
"r760raid","Dell PowerEdge R760","RAID Controller","","","https://www.dell.com/support/product-details/en-us/product/poweredge-r760/drivers","PowerEdge R760 Downloads (Opens in Edge)"
